LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2015,Maruti,Ertiga ZDI,Manual,"65,754 km",Diesel,1st Owner,"₹5,75,000"
New Delhi,2019,Renault,TRIBER 1.0 RXT,,"48,151 km",Petrol,1st Owner,"₹4,99,000"
New Delhi,2018,Maruti,Vitara Brezza ZDI,Manual,"58,827 km",Diesel,1st Owner,"₹7,32,000"
New Delhi,2018,Hyundai,Creta 1.4 E PLUS CRDI,,"66,356 km",Diesel,1st Owner,"₹8,99,999"
New Delhi,2015,Hyundai,Creta 1.6 S,Manual,"55,668 km",Petrol,1st Owner,"₹8,00,000"
New Delhi,2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"35,515 km",Petrol,1st Owner,"₹7,60,000"
New Delhi,2016,Toyota,Innova Crysta 2.4 ZX 7 STR,Manual,"16,070 km",Diesel,1st Owner,"₹17,00,000"
New Delhi,2015,Mahindra,TUV300 T8 AT,Automatic,"65,766 km",Diesel,1st Owner,"₹5,71,000"
New Delhi,2017,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"73,223 km",Diesel,1st Owner,"₹7,95,000"
New Delhi,2019,Tata,NEXON XM 1.2,Manual,"11,664 km",Petrol,1st Owner,"₹7,30,000"
New Delhi,2016,Mahindra,Scorpio S4PLUS,Manual,"73,797 km",Diesel,2nd Owner,"₹8,08,000"
New Delhi,2014,Renault,Duster RXZ DIESEL 110,Manual,"75,416 km",Diesel,2nd Owner,"₹3,95,000"
New Delhi,2019,Ford,Ecosport 1.5 TREND TI VCT AT,Manual,"36,307 km",Petrol,1st Owner,"₹8,70,000"
New Delhi,2017,Maruti,Ertiga VDI SHVS,Manual,"50,672 km",Diesel,1st Owner,"₹6,75,000"
New Delhi,2017,Maruti,Ertiga VDI SHVS,Manual,"46,994 km",Diesel,1st Owner,"₹6,85,000"
New Delhi,2016,Maruti,S Cross SIGMA 1.3,Manual,"60,488 km",Diesel,1st Owner,"₹5,25,000"
New Delhi,2016,Maruti,Vitara Brezza LDI,Manual,"57,004 km",Diesel,2nd Owner,"₹6,50,000"
New Delhi,2016,Mahindra,Scorpio S6 PLUS,Manual,"73,732 km",Diesel,2nd Owner,"₹8,10,000"
New Delhi,2017,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"79,484 km",Diesel,1st Owner,"₹7,15,000"
New Delhi,2016,Maruti,Eeco 7 STR,Manual,"1,01,223 km",Petrol,1st Owner,"₹2,73,000"
New Delhi,2015,Tata,Xenon XT EX 4X2,Manual,"50,754 km",Diesel,1st Owner,"₹5,85,000"
New Delhi,2019,Honda,BR-V 1.5 i- DTEC S,Manual,"24,386 km",Diesel,1st Owner,"₹9,25,000"
New Delhi,2013,Mahindra,Xylo E4 BS IV,Manual,"80,290 km",Diesel,2nd Owner,"₹2,78,000"
New Delhi,2015,Toyota,Innova 2.5 G 7 STR BS III,,"62,420 km",Diesel,1st Owner,"₹8,20,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"65,281 km",Diesel,2nd Owner,"₹5,20,000"
New Delhi,2014,Mahindra,Scorpio S6 PLUS,Manual,"91,836 km",Diesel,1st Owner,"₹7,28,000"
New Delhi,2019,Tata,NEXON XT+,Manual,"33,297 km",Diesel,1st Owner,"₹8,10,000"
New Delhi,2019,Mahindra,KUV 100 NXT K2 D 6S,Manual,"18,168 km",Diesel,1st Owner,"₹4,50,000"
New Delhi,2012,Tata,Safari Storme 2.2 EX 4X2,Manual,"1,04,934 km",Diesel,2nd Owner,"₹4,60,000"
New Delhi,2014,Mahindra,Bolero ZLX,Manual,"58,328 km",Diesel,2nd Owner,"₹4,52,000"
New Delhi,2019,Maruti,Ertiga VXI SMART HYBRID,Manual,"32,296 km",Petrol,1st Owner,"₹7,90,000"
New Delhi,2014,Mahindra,Quanto C2,Manual,"1,17,248 km",Diesel,2nd Owner,"₹1,70,000"
New Delhi,2016,Renault,Duster 85 PS RXE,Manual,"85,227 km",Diesel,1st Owner,"₹4,92,000"
New Delhi,2016,Mahindra,Scorpio S4PLUS,Manual,"55,875 km",Diesel,2nd Owner,"₹8,30,000"
New Delhi,2013,Mahindra,Xylo E4 BS IV,Manual,"80,290 km",Diesel,2nd Owner,"₹2,78,000"
New Delhi,2013,Mahindra,XUV500 W8 FWD,Manual,"89,674 km",Diesel,2nd Owner,"₹5,20,000"
New Delhi,2020,Mahindra,XUV 3OO 1.2 W6 MT,Manual,"5,006 km",Petrol,1st Owner,"₹8,92,000"
New Delhi,2020,Hyundai,VENUE 1.0L Turbo GDI SX MT,Manual,"10,339 km",Petrol,1st Owner,"₹9,90,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"56,811 km",Diesel,2nd Owner,"₹4,60,000"
New Delhi,2017,Maruti,Vitara Brezza VDI OPT,Manual,"21,098 km",Diesel,1st Owner,"₹7,16,295"
New Delhi,2016,Ford,Ecosport 1.5 AMBIENTE TDCI,Manual,"56,731 km",Diesel,1st Owner,"₹4,59,000"
New Delhi,2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"52,019 km",Petrol,1st Owner,"₹7,21,000"
New Delhi,2017,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"48,588 km",Diesel,2nd Owner,"₹6,51,000"
New Delhi,2018,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"26,350 km",Diesel,1st Owner,"₹9,29,000"
New Delhi,2018,Maruti,Vitara Brezza ZDI,Manual,"64,151 km",Diesel,1st Owner,"₹7,18,000"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"59,212 km",Diesel,1st Owner,"₹6,79,000"
New Delhi,2016,Maruti,Vitara Brezza ZDI PLUS,Manual,"54,741 km",Diesel,1st Owner,"₹6,88,000"
New Delhi,2019,Maruti,Ertiga ZXI Plus SHVS,,"42,953 km",Petrol,1st Owner,"₹9,55,000"
New Delhi,2019,Mahindra,Thar CRDE 4X4 BS IV,Manual,"58,504 km",Diesel,1st Owner,"₹9,38,000"
New Delhi,2015,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"63,968 km",Diesel,1st Owner,"₹5,20,000"
New Delhi,2017,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"43,563 km",Diesel,1st Owner,"₹7,60,000"
New Delhi,2018,Ford,Ecosport 1.5 AMBIENTE TDCI,Manual,"36,938 km",Diesel,1st Owner,"₹7,87,000"
New Delhi,2014,Maruti,Ertiga VDI,Manual,"96,417 km",Diesel,1st Owner,"₹4,60,000"
New Delhi,2018,Maruti,Vitara Brezza ZDI AMT,Automatic,"63,514 km",Diesel,1st Owner,"₹8,16,000"
New Delhi,2014,Mahindra,Scorpio VLX BS IV,Manual,"86,032 km",Diesel,3rd Owner,"₹5,10,000"
New Delhi,2019,Maruti,Ertiga ZXI SMART HYBRID AT,Automatic,"18,250 km",Petrol,1st Owner,"₹10,75,000"
New Delhi,2020,Maruti,Vitara Brezza ZXI,Manual,"2,580 km",Petrol,1st Owner,"₹9,52,000"
New Delhi,2019,Maruti,XL6 ALPHA AT SHVS,,"13,552 km",Petrol,1st Owner,"₹10,83,430"
New Delhi,2019,Mahindra,Scorpio S5 2WD,Manual,"36,626 km",Diesel,1st Owner,"₹11,16,000"
New Delhi,2020,Mahindra,XUV 3OO 1.2 W6 MT,Manual,"5,148 km",Petrol,1st Owner,"₹8,88,000"
New Delhi,2015,Renault,Duster 85 PS RXL,Manual,"23,073 km",Diesel,1st Owner,"₹4,82,000"
New Delhi,2017,Mahindra,Scorpio S10,Manual,"52,394 km",Diesel,1st Owner,"₹13,04,000"
New Delhi,2015,Mahindra,TUV300 T8,Manual,"42,344 km",Diesel,1st Owner,"₹5,45,000"
New Delhi,2019,Renault,TRIBER RXE MT PETROL,Manual,"46,068 km",Petrol,1st Owner,"₹4,29,000"
New Delhi,2018,Maruti,Vitara Brezza VDI AMT,Manual,"28,932 km",Diesel,1st Owner,"₹7,90,000"
New Delhi,2013,Renault,Duster 85 PS RXL,Manual,"64,991 km",Diesel,1st Owner,"₹3,49,000"
New Delhi,2020,Maruti,Vitara Brezza VXI,Manual,"19,838 km",Petrol,1st Owner,"₹8,28,000"
New Delhi,2019,Hyundai,Creta 1.6 SX VTVT,Manual,"9,697 km",Petrol,1st Owner,"₹12,15,000"
New Delhi,2016,Maruti,Ertiga VDI SHVS,Manual,"42,578 km",Diesel,1st Owner,"₹6,58,000"
New Delhi,2020,Maruti,Vitara Brezza LXI,Manual,"12,889 km",Petrol,1st Owner,"₹7,80,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"55,342 km",Diesel,2nd Owner,"₹4,71,000"
New Delhi,2017,Maruti,Vitara Brezza LDI OPT,Manual,"46,477 km",Diesel,1st Owner,"₹6,28,000"
New Delhi,2020,Renault,TRIBER 1.0 RXZ,,"25,232 km",Petrol,1st Owner,"₹6,13,000"
New Delhi,2020,Hyundai,VENUE 1.0L Turbo GDI SX MT,Manual,"4,260 km",Petrol,1st Owner,"₹9,59,000"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"50,854 km",Diesel,1st Owner,"₹7,35,000"
New Delhi,2018,Maruti,Vitara Brezza ZDI,Manual,"24,420 km",Diesel,1st Owner,"₹8,85,000"
New Delhi,2019,Hyundai,Creta 1.6 SX VTVT,,"16,928 km",Petrol,1st Owner,"₹12,00,000"
New Delhi,2019,Mahindra,Scorpio S9,,"36,942 km",Diesel,1st Owner,"₹14,74,000"
New Delhi,2016,Honda,BR-V 1.5 i-VTEC V,Manual,"73,487 km",Petrol,1st Owner,"₹6,07,000"
New Delhi,2019,Hyundai,VENUE 1.0 Turbo GDI DCT AT SX+ DT,,"18,299 km",Petrol,1st Owner,"₹10,65,000"
New Delhi,2013,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"63,165 km",Diesel,1st Owner,"₹4,52,000"
New Delhi,2016,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"96,177 km",Diesel,1st Owner,"₹5,93,000"
New Delhi,2016,Mahindra,TUV300 T8,Manual,"59,223 km",Diesel,1st Owner,"₹5,69,000"
New Delhi,2012,Mahindra,Quanto C2,Manual,"79,049 km",Diesel,1st Owner,"₹2,10,000"
New Delhi,2018,Ford,Ecosport 1.5 AMBIENTE TDCI,Manual,"50,181 km",Diesel,1st Owner,"₹6,46,000"
New Delhi,2014,Maruti,Ertiga VDI ABS,Manual,"91,912 km",Diesel,1st Owner,"₹4,80,000"
New Delhi,2018,Ford,Ecosport 1.5 TITANIUM SIGNATURE (SUNROOF) TDCI,,"66,285 km",Diesel,1st Owner,"₹9,75,000"
New Delhi,2017,Nissan,Terrano XL PLUS 85 PS DEISEL,Manual,"52,589 km",Diesel,1st Owner,"₹6,49,000"
New Delhi,2015,Nissan,Terrano XV 110 DIESEL,Manual,"1,04,720 km",Diesel,1st Owner,"₹5,04,000"
New Delhi,2017,Mahindra,TUV300 T8 AT,Automatic,"68,225 km",Diesel,1st Owner,"₹7,20,000"
New Delhi,2018,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"91,093 km",Diesel,1st Owner,"₹8,50,000"
New Delhi,2020,Hyundai,Creta 1.5 SX AT,Automatic,"12,850 km",Diesel,1st Owner,"₹18,80,000"
New Delhi,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"53,111 km",Petrol + CNG,1st Owner,"₹3,73,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"34,685 km",Diesel,1st Owner,"₹4,75,000"
New Delhi,2013,Renault,Duster RXE PETROL 104,Manual,"28,989 km",Petrol,1st Owner,"₹5,25,000"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"31,383 km",Diesel,1st Owner,"₹7,65,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"56,858 km",Diesel,1st Owner,"₹5,13,000"
New Delhi,2018,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"31,547 km",Petrol,1st Owner,"₹7,90,000"
New Delhi,2014,Renault,Duster 110 PS RXZ DIESEL OPT,Manual,"75,434 km",Diesel,2nd Owner,"₹3,81,000"
New Delhi,2019,Maruti,Vitara Brezza ZDI AMT,Automatic,"32,134 km",Diesel,1st Owner,"₹9,14,000"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"27,373 km",Diesel,1st Owner,"₹8,35,000"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"45,055 km",Diesel,1st Owner,"₹7,50,000"
New Delhi,2016,Maruti,Vitara Brezza VDI,Manual,"68,218 km",Diesel,1st Owner,"₹5,49,000"
New Delhi,2018,Hyundai,Creta 1.6 SX PLUS PETROL,Manual,"34,051 km",Petrol,1st Owner,"₹11,15,000"
New Delhi,2017,Toyota,Innova Crysta 2.4 ZX 7 STR,Manual,"30,187 km",Diesel,1st Owner,"₹18,10,000"
New Delhi,2017,Maruti,Vitara Brezza LDI OPT,Manual,"46,480 km",Diesel,1st Owner,"₹6,25,000"
New Delhi,2019,Maruti,XL6 ZETA SHVS,,"12,610 km",Petrol,1st Owner,"₹9,50,000"
New Delhi,2017,Mahindra,Scorpio S4+Intelli Hybrid 2WD,,"30,790 km",Diesel,1st Owner,"₹10,03,000"
New Delhi,2019,Maruti,Ertiga VXI SMART HYBRID,Manual,"68,121 km",Petrol,1st Owner,"₹8,00,000"
New Delhi,2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"58,862 km",Diesel,1st Owner,"₹10,79,000"
New Delhi,2014,Mahindra,Quanto C2,Manual,"92,863 km",Diesel,1st Owner,"₹2,46,000"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,11,759 km",Diesel,2nd Owner,"₹5,45,000"
New Delhi,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"74,691 km",Diesel,1st Owner,"₹8,21,000"
New Delhi,2016,Renault,Duster 85 PS RXE,Manual,"85,806 km",Diesel,1st Owner,"₹5,02,000"
